     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
1.14000e+04  3.257e+12  9.120345e-01  0.000000e+00  0.000000e+00  3.131e+12
1.15000e+04  3.262e+12  9.118538e-01  0.000000e+00  0.000000e+00  3.131e+12
1.16000e+04  3.266e+12  9.116756e-01  0.000000e+00  0.000000e+00  2.983e+12
1.17000e+04  3.270e+12  9.114998e-01  0.000000e+00  0.000000e+00  2.948e+12
1.18000e+04  3.273e+12  9.113263e-01  0.000000e+00  0.000000e+00  2.963e+12
1.19000e+04  3.277e+12  9.111551e-01  0.000000e+00  0.000000e+00  2.970e+12
1.20000e+04  3.280e+12  9.109863e-01  0.000000e+00  0.000000e+00  2.976e+12
1.21000e+04  3.284e+12  9.108197e-01  0.000000e+00  0.000000e+00  2.982e+12
1.22000e+04  3.287e+12  9.106553e-01  0.000000e+00  0.000000e+00  2.988e+12
1.23000e+04  3.290e+12  9.104931e-01  0.000000e+00  0.000000e+00  2.994e+12
1.24000e+04  3.293e+12  9.103330e-01  0.000000e+00  0.000000e+00  3.000e+12
1.25000e+04  3.295e+12  9.101751e-01  0.000000e+00  0.000000e+00  3.006e+12
1.26000e+04  3.298e+12  9.100193e-01  0.000000e+00  0.000000e+00  3.011e+12
1.27000e+04  3.300e+12  9.098655e-01  0.000000e+00  0.000000e+00  3.014e+12
1.28000e+04  3.302e+12  9.097137e-01  0.000000e+00  0.000000e+00  3.017e+12
1.29000e+04  3.304e+12  9.095639e-01  0.000000e+00  0.000000e+00  3.019e+12
1.30000e+04  3.306e+12  9.094161e-01  0.000000e+00  0.000000e+00  3.022e+12
1.31000e+04  3.307e+12  9.092703e-01  0.000000e+00  0.000000e+00  3.021e+12
1.32000e+04  3.309e+12  9.091263e-01  0.000000e+00  0.000000e+00  3.019e+12
1.33000e+04  3.310e+12  9.089843e-01  0.000000e+00  0.000000e+00  2.962e+12
1.34000e+04  3.312e+12  9.088440e-01  0.000000e+00  0.000000e+00  2.925e+12
1.35000e+04  3.313e+12  9.087056e-01  0.000000e+00  0.000000e+00  2.933e+12
1.36000e+04  3.314e+12  9.085690e-01  0.000000e+00  0.000000e+00  2.937e+12
1.37000e+04  3.314e+12  9.084342e-01  0.000000e+00  0.000000e+00  2.940e+12
1.38000e+04  3.315e+12  9.083012e-01  0.000000e+00  0.000000e+00  2.941e+12
1.39000e+04  3.316e+12  9.081698e-01  0.000000e+00  0.000000e+00  2.919e+12
1.40000e+04  3.316e+12  9.080402e-01  0.000000e+00  0.000000e+00  2.897e+12
1.41000e+04  3.316e+12  9.079122e-01  0.000000e+00  0.000000e+00  2.903e+12
1.42000e+04  3.316e+12  9.077859e-01  0.000000e+00  0.000000e+00  2.908e+12
1.43000e+04  3.317e+12  9.076612e-01  0.000000e+00  0.000000e+00  2.911e+12
1.44000e+04  3.316e+12  9.075381e-01  0.000000e+00  0.000000e+00  2.914e+12
1.45000e+04  3.316e+12  9.074167e-01  0.000000e+00  0.000000e+00  2.916e+12
1.46000e+04  3.316e+12  9.072967e-01  0.000000e+00  0.000000e+00  2.918e+12
1.47000e+04  3.315e+12  9.071784e-01  0.000000e+00  0.000000e+00  2.920e+12
1.48000e+04  3.315e+12  9.070615e-01  0.000000e+00  0.000000e+00  2.921e+12
1.49000e+04  3.314e+12  9.069462e-01  0.000000e+00  0.000000e+00  2.923e+12
1.50000e+04  3.313e+12  9.068323e-01  0.000000e+00  0.000000e+00  2.924e+12
1.51000e+04  3.312e+12  9.067199e-01  0.000000e+00  0.000000e+00  2.926e+12
1.52000e+04  3.311e+12  9.066090e-01  0.000000e+00  0.000000e+00  2.927e+12
1.53000e+04  3.310e+12  9.064994e-01  0.000000e+00  0.000000e+00  2.928e+12
1.54000e+04  3.309e+12  9.063913e-01  0.000000e+00  0.000000e+00  2.929e+12
1.55000e+04  3.307e+12  9.062846e-01  0.000000e+00  0.000000e+00  2.929e+12
1.56000e+04  3.306e+12  9.061792e-01  0.000000e+00  0.000000e+00  2.929e+12
1.57000e+04  3.304e+12  9.060752e-01  0.000000e+00  0.000000e+00  2.929e+12
1.58000e+04  3.303e+12  9.059726e-01  0.000000e+00  0.000000e+00  2.929e+12
1.59000e+04  3.301e+12  9.058712e-01  0.000000e+00  0.000000e+00  2.929e+12
1.60000e+04  3.299e+12  9.057712e-01  0.000000e+00  0.000000e+00  2.929e+12
1.61000e+04  3.297e+12  9.056725e-01  0.000000e+00  0.000000e+00  2.928e+12
1.62000e+04  3.295e+12  9.055750e-01  0.000000e+00  0.000000e+00  2.928e+12
1.63000e+04  3.293e+12  9.054787e-01  0.000000e+00  0.000000e+00  2.928e+12
1.64000e+04  3.290e+12  9.053838e-01  0.000000e+00  0.000000e+00  2.927e+12
1.65000e+04  3.288e+12  9.052900e-01  0.000000e+00  0.000000e+00  2.926e+12
1.66000e+04  3.286e+12  9.051975e-01  0.000000e+00  0.000000e+00  2.925e+12
1.67000e+04  3.283e+12  9.051061e-01  0.000000e+00  0.000000e+00  2.924e+12
1.68000e+04  3.280e+12  9.050159e-01  0.000000e+00  0.000000e+00  2.922e+12
1.69000e+04  3.278e+12  9.049269e-01  0.000000e+00  0.000000e+00  2.921e+12
1.70000e+04  3.275e+12  9.048391e-01  0.000000e+00  0.000000e+00  2.919e+12
1.71000e+04  3.272e+12  9.047523e-01  0.000000e+00  0.000000e+00  2.917e+12
1.72000e+04  3.269e+12  9.046667e-01  0.000000e+00  0.000000e+00  2.916e+12
1.73000e+04  3.266e+12  9.045823e-01  0.000000e+00  0.000000e+00  2.914e+12
1.74000e+04  3.263e+12  9.044989e-01  0.000000e+00  0.000000e+00  2.912e+12
1.75000e+04  3.259e+12  9.044166e-01  0.000000e+00  0.000000e+00  2.911e+12
1.76000e+04  3.256e+12  9.043353e-01  0.000000e+00  0.000000e+00  2.909e+12
1.77000e+04  3.253e+12  9.042552e-01  0.000000e+00  0.000000e+00  2.906e+12
1.78000e+04  3.249e+12  9.041761e-01  0.000000e+00  0.000000e+00  2.904e+12
1.79000e+04  3.246e+12  9.040980e-01  0.000000e+00  0.000000e+00  2.901e+12
1.80000e+04  3.242e+12  9.040209e-01  0.000000e+00  0.000000e+00  2.899e+12
1.81000e+04  3.238e+12  9.039449e-01  0.000000e+00  0.000000e+00  2.896e+12
1.82000e+04  3.235e+12  9.038698e-01  0.000000e+00  0.000000e+00  2.893e+12
1.83000e+04  3.231e+12  9.037958e-01  0.000000e+00  0.000000e+00  2.891e+12
1.84000e+04  3.227e+12  9.037227e-01  0.000000e+00  0.000000e+00  2.888e+12
1.85000e+04  3.223e+12  9.036506e-01  0.000000e+00  0.000000e+00  2.885e+12
1.86000e+04  3.219e+12  9.035794e-01  0.000000e+00  0.000000e+00  2.882e+12
1.87000e+04  3.215e+12  9.035092e-01  0.000000e+00  0.000000e+00  2.880e+12
1.88000e+04  3.210e+12  9.034399e-01  0.000000e+00  0.000000e+00  2.877e+12
1.89000e+04  3.206e+12  9.033716e-01  0.000000e+00  0.000000e+00  2.873e+12
1.90000e+04  3.202e+12  9.033041e-01  0.000000e+00  0.000000e+00  2.870e+12
1.91000e+04  3.197e+12  9.032376e-01  0.000000e+00  0.000000e+00  2.866e+12
1.92000e+04  3.193e+12  9.031720e-01  0.000000e+00  0.000000e+00  2.863e+12
1.93000e+04  3.188e+12  9.031072e-01  0.000000e+00  0.000000e+00  2.859e+12
1.94000e+04  3.184e+12  9.030433e-01  0.000000e+00  0.000000e+00  2.856e+12
1.95000e+04  3.179e+12  9.029803e-01  0.000000e+00  0.000000e+00  2.852e+12
1.96000e+04  3.174e+12  9.029182e-01  0.000000e+00  0.000000e+00  2.848e+12
1.97000e+04  3.170e+12  9.028568e-01  0.000000e+00  0.000000e+00  2.845e+12
1.98000e+04  3.165e+12  9.027964e-01  0.000000e+00  0.000000e+00  2.841e+12
1.99000e+04  3.160e+12  9.027367e-01  0.000000e+00  0.000000e+00  2.837e+12
2.00000e+04  3.155e+12  9.026779e-01  0.000000e+00  0.000000e+00  2.833e+12
2.01000e+04  3.150e+12  9.026199e-01  0.000000e+00  0.000000e+00  2.829e+12
2.02000e+04  3.145e+12  9.025627e-01  0.000000e+00  0.000000e+00  2.825e+12
2.03000e+04  3.140e+12  9.025062e-01  0.000000e+00  0.000000e+00  2.821e+12
2.04000e+04  3.135e+12  9.024506e-01  0.000000e+00  0.000000e+00  2.816e+12
2.05000e+04  3.130e+12  9.023958e-01  0.000000e+00  0.000000e+00  2.812e+12
2.06000e+04  3.124e+12  9.023417e-01  0.000000e+00  0.000000e+00  2.808e+12
2.07000e+04  3.119e+12  9.022883e-01  0.000000e+00  0.000000e+00  2.803e+12
2.08000e+04  3.114e+12  9.022358e-01  0.000000e+00  0.000000e+00  2.799e+12
2.09000e+04  3.108e+12  9.021839e-01  0.000000e+00  0.000000e+00  2.794e+12
2.10000e+04  3.103e+12  9.021328e-01  0.000000e+00  0.000000e+00  2.789e+12
2.11000e+04  3.097e+12  9.020825e-01  0.000000e+00  0.000000e+00  2.785e+12
2.12000e+04  3.092e+12  9.020329e-01  0.000000e+00  0.000000e+00  2.780e+12
2.13000e+04  3.086e+12  9.019839e-01  0.000000e+00  0.000000e+00  2.776e+12
2.14000e+04  3.081e+12  9.019357e-01  0.000000e+00  0.000000e+00  2.771e+12
2.15000e+04  3.075e+12  9.018882e-01  0.000000e+00  0.000000e+00  2.766e+12
2.16000e+04  3.069e+12  9.018414e-01  0.000000e+00  0.000000e+00  2.761e+12
2.17000e+04  3.064e+12  9.017953e-01  0.000000e+00  0.000000e+00  2.756e+12
2.18000e+04  3.058e+12  9.017498e-01  0.000000e+00  0.000000e+00  2.751e+12
2.19000e+04  3.052e+12  9.017050e-01  0.000000e+00  0.000000e+00  2.746e+12
2.20000e+04  3.046e+12  9.016609e-01  0.000000e+00  0.000000e+00  2.741e+12
2.21000e+04  3.040e+12  9.016175e-01  0.000000e+00  0.000000e+00  2.735e+12
2.22000e+04  3.034e+12  9.015747e-01  0.000000e+00  0.000000e+00  2.730e+12
2.23000e+04  3.028e+12  9.015326e-01  0.000000e+00  0.000000e+00  2.725e+12
2.24000e+04  3.022e+12  9.014911e-01  0.000000e+00  0.000000e+00  2.720e+12
2.25000e+04  3.016e+12  9.014502e-01  0.000000e+00  0.000000e+00  2.714e+12
2.26000e+04  3.010e+12  9.014099e-01  0.000000e+00  0.000000e+00  2.709e+12
